instruction,expected_intent,expected_entities,expected_workflow,missing_fields,risk_level
Sneha ka account delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Sneha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Sneha""}]",[],high
Set Keyboard price to 4999,UPDATE_PRODUCT,"{""product_name"": ""Keyboard"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Keyboard""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please download daily report dated yesterday,DOWNLOAD_REPORT,"{""report_type"": ""daily report"", ""date"": ""yesterday""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Keyboard ka daam 18000 karna hai,UPDATE_PRODUCT,"{""product_name"": ""Keyboard"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Keyboard""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please make Keyboard cost 24999,UPDATE_PRODUCT,"{""product_name"": ""Keyboard"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Keyboard""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Show me the customer table,READ_TABLE,"{""table"": ""customer table""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customer-table"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}]",[],low
Please make Camera cost 59999,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please make Camera cost 599,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Add Amit as a customer with phone number 9988776655,ADD_CUSTOMER,"{""customer_name"": ""Amit"", ""phone_number"": ""9988776655""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Amit""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9988776655""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Please remove Vikram from customers,DELETE_CUSTOMER,"{""customer_name"": ""Vikram""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Vikram""}]",[],high
Change Mouse price to ₹4999,UPDATE_PRODUCT,"{""product_name"": ""Mouse"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Mouse""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Delete the customer record for Meera,DELETE_CUSTOMER,"{""customer_name"": ""Meera""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Meera""}]",[],high
Remove Varun from the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Varun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Varun""}]",[],high
Send a mail,SEND_EMAIL,{},[],"[""recipient"", ""subject"", ""message""]",medium
Change Speaker price to ₹4999,UPDATE_PRODUCT,"{""product_name"": ""Speaker"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Speaker""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Display the sales table,READ_TABLE,"{""table"": ""sales table""}","[{""action"": ""OPEN_PAGE"", ""target"": ""sales-table"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#sales-table-body"", ""value"": null}]",[],low
Change Printer price to ₹18000,UPDATE_PRODUCT,"{""product_name"": ""Printer"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Printer""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Pankaj ka account delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Pankaj""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Pankaj""}]",[],high
"Karan naam ka customer bana do, mobile 9012345678 hai",ADD_CUSTOMER,"{""customer_name"": ""Karan"", ""phone_number"": ""9012345678""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Karan""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9012345678""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Karan ka customer record delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Karan""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Karan""}]",[],high
Pankaj ka customer record delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Pankaj""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Pankaj""}]",[],high
Please make Mouse cost 1299,UPDATE_PRODUCT,"{""product_name"": ""Mouse"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Mouse""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
iPhone ka daam 599 karna hai,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Display the customer records,READ_TABLE,"{""table"": ""customer records""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customer-records"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-records-body"", ""value"": null}]",[],low
Printer ka daam 59999 karna hai,UPDATE_PRODUCT,"{""product_name"": ""Printer"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Printer""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Take Meera off the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Meera""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Meera""}]",[],high
Please remove Nisha from customers,DELETE_CUSTOMER,"{""customer_name"": ""Nisha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Nisha""}]",[],high
Isha ko customer database se hata do,DELETE_CUSTOMER,"{""customer_name"": ""Isha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Isha""}]",[],high
"Customer Sara add kar do, number 9812345678",ADD_CUSTOMER,"{""customer_name"": ""Sara"", ""phone_number"": ""9812345678""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Sara""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9812345678""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
backup.zip upload kar do,UPLOAD_FILE,"{""file_name"": ""backup.zip""}","[{""action"": ""OPEN_PAGE"", ""target"": ""files"", ""value"": null}, {""action"": ""UPLOAD_FILE"", ""target"": ""file-input"", ""value"": ""backup.zip""}]",[],low
Update Camera ka price 59999 kar do,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Change Laptop price to ₹18000,UPDATE_PRODUCT,"{""product_name"": ""Laptop"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Laptop""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Change iPhone price to ₹59999,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Add Priya as a customer with phone number 9123456780,ADD_CUSTOMER,"{""customer_name"": ""Priya"", ""phone_number"": ""9123456780""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Priya""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9123456780""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
data.xlsx upload kar do,UPLOAD_FILE,"{""file_name"": ""data.xlsx""}","[{""action"": ""OPEN_PAGE"", ""target"": ""files"", ""value"": null}, {""action"": ""UPLOAD_FILE"", ""target"": ""file-input"", ""value"": ""data.xlsx""}]",[],low
Can you delete Sara?,DELETE_CUSTOMER,"{""customer_name"": ""Sara""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Sara""}]",[],high
Customer form Priya 9123456780,FILL_FORM,"{""customer_name"": ""Priya"", ""phone_number"": ""9123456780""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Priya""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9123456780""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Nisha ka account delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Nisha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Nisha""}]",[],high
Please make Mouse cost 24999,UPDATE_PRODUCT,"{""product_name"": ""Mouse"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Mouse""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Customer Karan ko remove karo,DELETE_CUSTOMER,"{""customer_name"": ""Karan""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Karan""}]",[],high
Delete custmer Arjun,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Change the price of Monitor to 59999,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Customer Vikram ko remove karo,DELETE_CUSTOMER,"{""customer_name"": ""Vikram""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Vikram""}]",[],high
Amit ko customer records se hata do,DELETE_CUSTOMER,"{""customer_name"": ""Amit""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Amit""}]",[],high
Update Monitor ka price 599 kar do,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Delete customer Aditya,DELETE_CUSTOMER,"{""customer_name"": ""Aditya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Aditya""}]",[],high
Change Monitor price to ₹18000,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
I want Rahul removed from the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Rahul""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Rahul""}]",[],high
Sneha ka customer record delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Sneha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Sneha""}]",[],high
Upload data.xlsx,UPLOAD_FILE,"{""file_name"": ""data.xlsx""}","[{""action"": ""OPEN_PAGE"", ""target"": ""files"", ""value"": null}, {""action"": ""UPLOAD_FILE"", ""target"": ""file-input"", ""value"": ""data.xlsx""}]",[],low
